start_utc,end_utc,label
2025-09-16T14:05:00Z,2025-09-16T14:45:00Z,0
2025-09-16T14:50:00Z,2025-09-16T15:30:00Z,0
2025-09-16T15:20:00Z,2025-09-16T15:30:00Z,1
2025-09-16T15:35:00Z,2025-09-16T16:15:00Z,0
2025-09-16T16:20:00Z,2025-09-16T17:00:00Z,0
